"date","obs","hres","ctr","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p49","p50","pop_hclr","pop_hclr_noscale","pop_idr","tail_hclr","tail_hclr_noscale","tail_idr"
2012-03-11,0,0.00688154250383377,0,0.167608261108398,0.003814697265625,0.00220537185668945,0.0269412994384766,0.00393390655517578,0.217318534851074,0.00441074371337891,0.016331672668457,0.0165104866027832,0.00379979610443115,0.00363588333129883,0.000238418579101562,0.00166893005371094,0.976920127868652,0.104010105133057,0.0143051147460938,0.0327946618199348,0,0,0.234842300415039,0.00405311584472656,0.000596046447753906,0.00369548797607422,0,0.000476837158203125,0.113487243652344,0.00405311584472656,0.0355243682861328,0.20144134759903,0.00345706939697266,0.00554323196411133,0,5.16767520457506,0.00166893005371094,1.52838230133057,0.231228768825531,0.0206828117370605,0.0019073486328125,0,0,0.34034252166748,0,0,0.223398208618164,0.0120997428894043,1.82485580444336,0.00371970236301422,0.00339001417160034,0.00691413879394531,0.000238418579101562,0.163890148962986,0.192264611427391,0.05839,0.00111622651326326,0.00531141811995173,0
2012-03-12,0.1,0.368556240573525,0.335514545440674,0.245273113250732,1.70834362506866,0.308990478515625,0.577926635742188,1.93333625793457,0.247716903686523,3.39198112487793,0.136494636535645,0.963826896622777,3.44371842220426,0.169658567756414,0.594258308410645,0.45128702186048,0.14805793762207,1.53970718383789,0.203967094421387,0.224161194637418,0.0481605529785156,0.468587735667825,0.117301940917969,1.42712611705065,0.97346305847168,0.292539596557617,1.8150806427002,0.682711601257324,0.791311264038086,0.804364681243896,1.27702951431274,1.7531868070364,0.348091125488281,0.053703784942627,0.723719596862793,0.0941006001085043,1.14164315164089,1.65075063705444,0.0164508819580078,2.10833502933383,1.63733959197998,1.73103809356689,0.451087951660156,0.162363052368164,1.19102001190186,0.0899937003850937,0.460267066955566,1.57386413775384,0.259160995483398,1.13081932067871,1.92947359755635,0.0255107879638672,1.68826384469867,0.409771852538305,0.390230913792706,0.31532,0.00418385344775918,0.0138989920102287,0.00521000000000005
2012-03-13,0,0,0.029146671295166,0.0286102294921875,0.00768899917602539,0.0417232513427734,1.07848644256592,0.0119209289550781,1.57105922698975,0.529050827026367,0.0157356262207031,0.0237226486206055,0.0812709331512451,0.00452995300292969,0.0460147857666016,0.0126361846923828,0.0689029693603516,0.0514388084411621,0.0118017196655273,0.124812126159668,0.112414360046387,0.0159740447998047,1.46013498306274,0.193178653717041,0.847101211547852,0.726580619812012,0.00923871994018555,0.102877617791819,0.864028930664062,0.115513801574707,0.128626823425293,0.00452995300292969,0.257611274719238,0.0126361846923828,0.0210404396057129,0.0639557838439941,0.688552856445312,1.47101283073425,0.26392936706543,0.217533088289201,0.365257263183594,0.0576451420783997,0.511467456817627,0.581502914428711,0.832021236419678,0.0213384628295898,3.04841995239258,0.00929832458496094,0.302374362945557,0.00452995300292969,0.963211059570312,0.0050663948059082,0.710010528564453,0.195091002939449,0.225129563821707,0.09371,0.00126903640586529,0.00641701817456142,9.99999999995449e-06
2012-03-14,0,0,0.0119209289550781,0.0833272933959961,0.0985413789749146,0.0108480453491211,0.0371932983398438,3.57977114617825e-05,0.0518560409545898,0.344634056091309,0.0140047632157803,0.00840425491333008,0.122785568237305,0.000417232513427734,0.0665187835693359,0.0625848770141602,0.0100135803222656,0.0385046005249023,0.00762939453125,0.0481605529785156,0.0215768814086914,0.00739097595214844,0.160741852596402,0.0174045562744141,0.0203847885131836,0.0314473873004317,0.0150203704833984,0.0313282944262028,0.0112056732177734,0.189542770385742,0.0281333923339844,0.277042388916016,0.0346899032592773,0.00420806463807821,0.0100135803222656,0.0108480453491211,0.018381979316473,0.0265836715698242,0.0824928283691406,0.133395195007324,0.000834465026855469,0.00345706939697266,0.0627040863037109,0.00417232513427734,0.0231266021728516,0.0339746475219727,0.00417232513427734,0.0127553939819336,0.00762939453125,0.00762939453125,0.019073486328125,0.00798702239990234,0.00421225558966398,0.0928633297236026,0.164800619884294,0.05839,0.000205174060384339,0.00441885513047047,0
2012-03-15,0,0,0.000417232513427734,0.000417232513427734,0.00935792922973633,0,0.000417232513427734,0,0.0129342079162598,0,0.000536441802978516,0,0,0,0.0003851018846035,0,0.000417232513427734,0,0.00339746475219727,0,0.0100135803222656,0.000348547473549843,0,0.00733137130737305,0.00345706939697266,0,0.000357627868652344,0.00667572021484375,0.00351667404174805,0.00135891605168581,1.19325704872608e-05,0,0,0,0.00345706939697266,0.0448226928710938,0,0.010371208190918,0,0.000476837158203125,0,0.000417232513427734,0,0,0,0.00666361302137375,0.000476837158203125,0.000357627868652344,0.00375509262084961,0,0.000417232513427734,0.00417232513427734,0.000357627868652344,0.0641639258427353,0.142189570023049,0.03992,0.000116605381401236,0.00373641779641232,0
2012-03-16,0,0,0,0,0,0,0,0.019371509552002,0,0,0,0,2.98023223876953e-05,0.0118911275421851,0,0.000715255737304688,0,0,0,0.000357627868652344,0,0,0,0,0.00303983688354492,0,0.0104010105133057,0,0,0,0,0,0,0,0.000357627868652344,0.00452995300292969,0,0,0.0114142894744873,0,0,0,0,0.000417232513427734,0,0,0.000387430191040039,0,0,0,0.00375509262084961,0.000387430191040039,0,0.0619046817920562,0.140436448471708,0.02146,0.00011121181302487,0.00368051344423725,0
2012-03-17,0,0,0,0,9.09494701772928e-10,2.98023223876953e-05,0,0.000655650183034595,0,0,0,0.003814697265625,9.09494701772928e-10,0,0,0,9.09494701772928e-10,0.00312924385070801,0,0,0,0,0,0.00312924385070801,0,0,0,9.09494701772928e-10,1.49011611938477e-05,0,9.09494701772928e-10,0,0,0.00312924385070801,2.98023223876953e-05,0,0,0.0106990337371826,0,0,0,0,2.98023223876953e-05,0,0,0,0,0,2.98032318823971e-05,0,0,0,0,0.0596081419001175,0.139120092867113,0.02147,0.000106952881281819,0.00364191562225491,0
2012-03-18,0,0,0.0272691258942359,5.96046447753906e-05,0.00619888305664062,0.00712275596015388,0.00311434268951416,0.0286102294921875,0,0,0.00476837158203125,5.96046447753906e-05,0,0.00143051147460938,8.94078766577877e-05,5.96046447753906e-05,8.94069671630859e-05,0.196635723114014,0.00113248916022712,9.09494701772928e-10,0.00624656604486518,0.0452995309387916,0.0150203713928931,0.0102519998108619,0.0138282784973853,0.00375509353034431,0.00756979079596931,0,0.0138282775878906,0.000208616256713867,0.00685453414916992,0,0.129699707940745,0.0031888484954834,0.0148713597809547,0.0076293936217553,0.0650882730042213,0.000715255737304688,5.96046447753906e-05,0.000238418579101562,0.00756979079596931,0.924736261367798,0.0150799751281738,0.00104308128356934,0.00742077827453613,0.00107288451545173,0.433713198617625,0.0076293936217553,0.0128746041809791,0,0,0,0,0.0838465782291614,0.148463884814767,0.05839,0.000225197411042877,0.00391958829444317,0
2012-03-19,5,10.0935272803326,12.4171227225816,0.386059284210205,5.12852659448981,0,10.4025602349793,4.85551357360237,8.83245468139648,0.33900737798831,7.33460485935211,13.1864817813039,1.28388404846191,1.42775452695787,7.15327262878418,6.82783126831055,0.003814697265625,10.6956586241722,1.41012668609619,16.0095207393169,0,5.09199500174873,4.99461591243744,9.76324081420898,3.11671197414398,6.3687851652503,1.77655220068118,3.80916893482208,0.382542610168457,9.33079700917006,0.432491302490234,8.0745043233037,0.636309385299683,6.64043426513672,3.1149834394455,2.10309028625488,0.449344515800476,3.34227085204475,0.000238418579101562,7.84473400563002,0.0324249267578125,14.5299434661865,7.65409767700476,10.3649841630613,2.17953026367468,1.11635029315948,13.2817745216016,12.6169538125396,0.897288323358225,0.000238418579101562,4.36210632415168,4.70466632395983,3.32507467828691,0.818507713259066,0.845712980340538,0.94444,0.153690530072696,0.104168997452316,0.24812
2012-03-20,5.5,6.44016265869141,4.87375259399414,4.35829162597656,3.27529851347208,4.10587340593338,5.04684448242188,3.52552253752947,1.74093246459961,3.16747650504112,2.74715479463339,2.67696380615234,6.61172810941935,4.52995300292969,0.895500183105469,0.870990566909313,2.49481201171875,4.29583992809057,3.23867797851562,0.872707925736904,6.02006912231445,2.29864101856947,6.43445085734129,1.0838508605957,2.99930572509766,6.52990210801363,3.91340348869562,3.96051350980997,6.57386798411608,5.47218322753906,5.61094284057617,3.92484664916992,0.929832458496094,3.85475158691406,14.4314765930176,0.349999405443668,5.10616321116686,3.08828335255384,6.46018888801336,2.0909309387207,1.52254104614258,3.89814376831055,3.46660614013672,8.18862859159708,1.61056499928236,2.28023529052734,7.41434097290039,0.218868255615234,2.37894058227539,4.86135482788086,8.92448518425226,3.34692001342773,8.8653564453125,0.893834718281644,0.85099816619568,0.88462,0.091013731263505,0.108001633045325,0.09783
