"date","obs","hres","ctr","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p49","p50","pop_hclr","pop_hclr_noscale","pop_idr","tail_hclr","tail_hclr_noscale","tail_idr"
2012-02-03,0,0.00639223071630113,0,0,0,0.00119209289550781,0,0,0,0,0,0,0,0,0,0,0,5.96046447753906e-05,0,0,0.00500679016113281,0,0,0,0,0,0,0,0,0,0,0,0,0.000357627868652344,0,0,0.00189542697626166,0,0,0.000834465026855469,0,0,0,0.0019073486328125,0,7.15253918315284e-05,0.00488758087158203,0,0,0,0,0,0,0.0571170990955101,0.153562974904822,0.00400999999999996,2.4080360190526e-05,0.00250454287338198,0
2012-02-04,1.2,0.848770141601562,0.634026539955812,0.125169754937815,0.929617905057967,0.999569892883301,0.583648681640625,0.40590763092041,1.08717679995607,0.0434875473729335,1.05977058410645,0.386834144592285,0.409722328186035,0.0900030145203345,0.342535960953683,0.797259807768569,0.026702880859375,0.780820846557617,0.412821769714355,0.434112561379152,2.46930122375488,1.34122371764533,0.34022331237793,0.08392333984375,0.0019073477233178,0.423431396484375,0.838482403196394,0.093802809715271,1.39307975769043,0.19001960845344,0.00607967376708984,0.482559204101562,0.00762939453125,1.0010004052674,0.406265258789062,0.558495522454905,0.60731172652595,0.399410724639893,0.164031982421875,0.350475312188792,0.207543374017405,0.36168098449707,0.868177390657365,0.297188758850098,0.688910484313965,0.807189964689314,0.630974769592285,0.56612491607666,0.31280517578125,1.52325630278938,0.75531005859375,0.679731369018555,0.0152587881530053,0.526876231378208,0.466307317900161,0.3,0.00216297700916512,0.0117226196609628,0.00551999999999997
2012-02-05,0,0.00476837158203125,0,0,2.68959999084473,0.02288818359375,0.0230073928833008,0,0.00391004141420126,0.00560283660888672,0.0122189521789551,0,0.00226497650146484,0,0,0.0226497650146484,0,0.00309944152832031,0.0474452972412109,0.00691413879394531,1.79594755172729,5.96046447753906e-05,0,0.00184774398803711,5.96046447753906e-05,0.0019073486328125,5.64432144165039,0,2.19941139221191,0,4.17715311050415,0,1.44882197491825,0.00578165054321289,0.0019073486328125,0.106692314147949,0.0112056732177734,0,2.17282772064209,0,0.129759311676025,1.16795301437378,0,0,0,0.00429153442382812,0.635147094726562,0,0.0420808792114258,0.00610353890806437,0.00309944152832031,0,1.0039210319519,0.27548519149875,0.250565897824065,0.0555600000000001,0.00307376542016513,0.00454467392668678,0
2012-02-06,0,0.00756978988647461,0.00238418579101562,0.000119209289550781,0.44715404510498,0.044703483581543,1.97124481201172,0.0312328338623047,0.217974185943604,2.54654884338379,0,0.00500679016113281,0.12516975402832,0.00596046447753906,0.0748634338378906,0,0.413417816162109,0.297784805297852,2.35271453857422,0.0426769256591797,0,0.0889301300048828,0.292181968688965,0.790596008300781,0,0.260531902313232,0,0,0.0884532928466797,0.0107288360595703,0,0.626027584075928,0.00691413879394531,0.0426769256591797,0.156819820404053,0.0321865081787109,0.0137090682983398,0.0194907188415527,0.473499298095703,0.09918212890625,0,0.527858734130859,0,0.573873519897461,0,0.000119209289550781,3.79776954650879,0.00119209289550781,1.53762102127075,0.0319480895996094,0,0.0562071800231934,0,0.267413330648185,0.264606915893002,0.04,0.00159098059525331,0.00487247724768003,0
2012-02-07,0,0,0,2.33054161071777,0,0,5.15198707580566,0,0.00667572021484375,3.63898277282715,0.00452995300292969,0,0.0388622283935547,0,0.00691413879394531,0.12516975402832,0.000119208380056079,2.84123420806282,0,0.00166893005371094,0,0.00309944152832031,0,1.09267234802246,0.0214576721191406,0,0.00212192571780179,0.00452995300292969,0.0586509704589844,1.94787979125977,0.000238418579101562,0.276088714599609,0,0.734090805053711,0,0.00619888305664062,0.000238418579101562,0.0281333923339844,0.00739097595214844,0,0,1.656174659729,0,0.00452995300292969,0.705599784851074,0,1.47008895874023,0,0.604152679443359,2.64465808868408,0.00542402267456055,0.0565052032470703,0,0.284184105047478,0.258009111754772,0.04,0.00332911634615685,0.00470730200379199,0
2012-02-08,0,0.00704705416865181,0.0225305557250977,0.0138282775878906,0.0429153442382812,0.00739097595214844,0.0882148742675781,0.0865936317495652,0.33342838378303,0.480771064758301,0.00298023223876953,0.0724196434020996,0.00872612054081401,0.362396240234375,0,0.135857350869628,0.00391751473216573,0.138759613946604,0.000715255737304688,0.14805793762207,0.00758171154302545,0.021243095943646,0.147914884109923,0.0243186950683594,0.00786781311035156,1.10781192779541,0,0,0.138521195367503,0.011444091796875,0.0977039308054373,0.327276007737964,0.181818008968548,0.0195503243958228,0.00796318090579007,0.473856925964355,0,0.505208969116211,0.000119209289550781,0.0473260879516602,0.0503063201904297,0.0462532043457031,0.125169745842868,0.030875206903147,0.000238418579101562,0.51194429397583,0.000715255737304688,0.00989437103271484,0.346136105690675,0.138759613037109,0,0,0.00419616753788432,0.167664623732761,0.220374950731011,0.01515,0.00024645211110319,0.00384760204555967,0
2012-02-09,0,0.007592563633807,0.00226497650146484,0.00107288360595703,0,0.00760555849410594,0.00613927841186523,0.0125169763123267,0,0.00095367431640625,0,0.000715255737304688,0.00685453414916992,0.0149011611938477,0,0,0.00380277924705297,0,0.00422000812250189,0.0057220458984375,0.003814697265625,0.00262260437011719,0.00762939453125,0,0.00271797034656629,0.00309944061882561,0.00494718551635742,0.0076293936217553,0,0.0252723693847656,0.00113248825073242,0.0298023223876953,0.00113248825073242,0.00309944061882561,0.00802278373157606,0,0,0.0057220458984375,0,0.00189457205124199,0,0.00262260437011719,0.0107049927464686,0.00375509262084961,0.00571012424188666,0,0,0.0214576721191406,0.00345706939697266,0.00154972076416016,0,0.0251531610047095,0.00386238025384955,0.0706622781730268,0.164583282904693,0.00400999999999996,3.01893136481768e-05,0.0027116136081291,0
2012-02-10,0,0.0906586647033691,0.0560656189918518,0.3470778465271,0.072479248046875,0.224649906158447,0.019073486328125,0.331118702888489,0.207588076591492,0.10526180267334,0.0075995922088623,0.21594762802124,0.0499486923217773,0.00455975532531738,0.0480413436889648,0.192224979400635,0.0960826873779297,0.614166259765625,0.268608331680298,0.0869631767272949,0.170528888702393,0.0137388706207275,0.435292720794678,0.0247657299041748,0.0537782907485962,0.112533569335938,0.109851360321045,0.0079721212387085,0.0492632389068604,0.262439250946045,0.0454187393188477,0.0385046005249023,0.0145211815834045,0.105988990981132,0.0129863619804382,0.0198185443878174,0.260531902313232,0.0549554824829102,0.213623046875,0.241845846176147,0.0247955322265625,0.00762939453125,0.435255467891693,0.229991972446442,0.0580549240112305,0.0324249267578125,0.0221133232116699,0.00573694705963135,0.135838985443115,0.171288847923279,0.208288431167603,0.18388032913208,0.196851789951324,0.209026732123679,0.262514956512153,0.0625,0.000207743379044389,0.00484671031935402,0
2012-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046447753906e-05,0.0019073486328125,0,0,0,0,0,0,0,0,0,0,0,0.000357627868652344,0.00113248825073242,0,0.000417232513427734,0,0,0,0,5.96046447753906e-05,0,0,0.003814697265625,0,0,0,0.000774860382080078,0,0.00917911529541016,0,0,0,0.00339746475219727,0,0.00185966200660914,0.00113248825073242,0,0.0532278112989857,0.14838772086783,0.00355000000000005,2.19816077478008e-05,0.00240440244461992,0
2012-02-12,0,0.00369548797607422,0,0,0,0,0.00268220901489258,0.00417232513427734,0,0,0.0019073486328125,0,0,0.00262260437011719,0.003814697265625,0,0,0.00500679016113281,0.003814697265625,0.0019073486328125,0.003814697265625,0.003814697265625,0,0,0.0019073486328125,0,0,0,0,0,0.00417232513427734,0,0,0,0.003814697265625,0,0,0.000119209289550781,0.003814697265625,0.00500679016113281,0.00500679016113281,0,0,0,0.00303983688354492,0.00262260437011719,0.00412464214605279,0,0.003814697265625,0,0,0,0,0.0609541086835587,0.156320580559477,0.00400999999999996,2.53583424121295e-05,0.00255497179664532,0
