"airport","lag","date","obs","pop_hclr","pop_hclr_noscale","pop_idr","y","hypo","eval"
"Frankfurt",1,2012-01-09,2,0.776420702298459,0.73694012506558,0.5,1,"HCLR/IDR",1.10827962199325
"Frankfurt",1,2012-01-10,3,0.969129099077042,0.935527813742823,0.9292,1,"HCLR/IDR",1.11993529509364
"Frankfurt",1,2012-01-11,0,0.3092201745632,0.321109709449025,0.14286,0,"HCLR/IDR",1.05975367969935
"Frankfurt",1,2012-01-12,0,0.36956129601855,0.367264185668848,0.16216,0,"HCLR/IDR",0.98490607548291
"Frankfurt",1,2012-01-13,0.5,0.869091669394865,0.810644074393774,0.79817,1,"HCLR/IDR",1.00585395197783
"Frankfurt",1,2012-01-14,2,0.663419518283803,0.601455985329464,0.45833,1,"HCLR/IDR",1.09780411514376
"Frankfurt",1,2012-01-15,0,0.166934980403116,0.206258757959132,0.04938,0,"HCLR/IDR",1.06162834985327
"Frankfurt",1,2012-01-16,0,0.0913544352282983,0.144406667745861,0.00636000000000003,0,"HCLR/IDR",1.03791148428662
"Frankfurt",1,2012-01-17,0,0.0781140848074219,0.132127651962386,0.00631999999999999,0,"HCLR/IDR",1.01846138222162
"Frankfurt",1,2012-01-18,0,0.0712099126160952,0.123844806434529,0.00627999999999995,0,"HCLR/IDR",1.00126287465995
"Frankfurt",1,2012-01-19,4,0.981411371511959,0.963325773540135,0.95735,1,"HCLR/IDR",1.00747605756176
"Frankfurt",1,2012-01-20,11,0.998655655756166,0.99733329884521,1,1,"HCLR/IDR",1.0071372311524
"Frankfurt",1,2012-01-21,2.2,0.960243775859812,0.94288885942837,0.9292,1,"HCLR/IDR",1.01541092070681
"Frankfurt",1,2012-01-22,3,0.996102450175922,0.989248340891735,0.99276,1,"HCLR/IDR",1.01626416231994
"Frankfurt",1,2012-01-23,0.1,0.908531760256777,0.877236466294281,0.83333,1,"HCLR/IDR",1.03820185440208
"Frankfurt",1,2012-01-24,1,0.883365118068748,0.844108870539522,0.83333,1,"HCLR/IDR",1.05333166744152
"Frankfurt",1,2012-01-25,1.2,0.5925259479563,0.545096816596087,0.43478,1,"HCLR/IDR",1.13420280554965
"Frankfurt",1,2012-01-26,0,0.112956275637908,0.149989418263504,0.00629999999999997,0,"HCLR/IDR",1.10204269636225
"Frankfurt",1,2012-01-27,2,0.620077963018394,0.586240502836735,0.33333,1,"HCLR/IDR",1.26776844577844
"Frankfurt",1,2012-01-28,0.3,0.420748034400709,0.395590439214751,0.1647,1,"HCLR/IDR",1.54500024052611
"Frankfurt",1,2012-01-29,0,0.387959743341781,0.380913989109264,0.17912,0,"HCLR/IDR",1.43241286792279
"Frankfurt",1,2012-01-30,0,0.436842858368858,0.416019948064068,0.19608,0,"HCLR/IDR",1.30627813640576
"Frankfurt",1,2012-01-31,0,0.509663865447618,0.476875175740996,0.43478,0,"HCLR/IDR",1.25994277204105
"Frankfurt",1,2012-02-01,0,0.078926341153585,0.132944487085509,0.00632999999999995,0,"HCLR/IDR",1.23605779012964
"Frankfurt",1,2012-02-02,0,0.0701256836705381,0.121993619878274,0.00629000000000002,0,"HCLR/IDR",1.21554800705972
"Brussels",1,2012-02-03,0,0.0718571514280942,0.140120827313329,0.00926000000000005,0,"HCLR/IDR",0.983689168029544
"Frankfurt",1,2012-02-03,0,0.0721007708935486,0.125903353965454,0.00629000000000002,0,"HCLR/IDR",1.19473312175655
"Brussels",1,2012-02-04,1.2,0.76028828744816,0.689796416039445,0.61111,1,"HCLR/IDR",1.03719115458263
"Frankfurt",1,2012-02-04,0,0.0939103449821618,0.142945687297101,0.00636000000000003,0,"HCLR/IDR",1.16720307381128
"Brussels",1,2012-02-05,0,0.108429326447067,0.158242686909602,0.00926000000000005,0,"HCLR/IDR",1.00986900483286
"Frankfurt",1,2012-02-05,0,0.0779531980046143,0.132092152378375,0.00636000000000003,0,"HCLR/IDR",1.14539267122148
"Brussels",1,2012-02-06,0,0.0906440694565529,0.155276324613604,0.00926000000000005,0,"HCLR/IDR",0.988241873299601
"Frankfurt",1,2012-02-06,0,0.076327271760385,0.130968025503799,0.00636000000000003,0,"HCLR/IDR",1.12449362874412
"Brussels",1,2012-02-07,0,0.0717608289451663,0.139128596963858,0.00926000000000005,0,"HCLR/IDR",0.972148437474136
"Frankfurt",1,2012-02-07,0,0.0732710477505678,0.125852059175925,0.00629000000000002,0,"HCLR/IDR",1.104883590801
"Brussels",1,2012-02-08,0,0.307105140658152,0.311371160291099,0.1404,0,"HCLR/IDR",0.919954338075175
"Frankfurt",1,2012-02-08,0.3,0.555749743298542,0.515228205077469,0.43168,1,"HCLR/IDR",1.17429745260525
"Brussels",1,2012-02-09,0,0.0788883420780565,0.147057138532014,0.00926000000000005,0,"HCLR/IDR",0.903202281219123
"Frankfurt",1,2012-02-09,0,0.0736527238195714,0.126480102694673,0.00629999999999997,0,"HCLR/IDR",1.15370105037377
"Brussels",1,2012-02-10,0,0.158063412322294,0.219708268528044,0.02564,0,"HCLR/IDR",0.870276731254499
"Frankfurt",1,2012-02-10,0,0.340742847099241,0.346198472321247,0.17912,0,"HCLR/IDR",1.09071214150902
"Brussels",1,2012-02-11,0,0.0735139744324432,0.141632758562731,0.00926000000000005,0,"HCLR/IDR",0.855693490130745
"Frankfurt",1,2012-02-11,0,0.0838972341164926,0.13769703623087,0.00636000000000003,0,"HCLR/IDR",1.06857020590892
"Brussels",1,2012-02-12,0,0.081432175726026,0.148184663391146,4.000000000004e-05,0,"HCLR/IDR",0.837542396871857
"Frankfurt",1,2012-02-12,0,0.0802707770257747,0.13297736876762,0.00632999999999995,0,"HCLR/IDR",1.04792346622626
"Brussels",1,2012-02-13,0,0.449267858106948,0.431529049826296,0.14539,0,"HCLR/IDR",0.746991284068699
"Frankfurt",1,2012-02-13,0,0.358198424332499,0.352590891753202,0.17912,0,"HCLR/IDR",0.98377400052071
"Brussels",1,2012-02-14,4.9,0.997010379620088,0.991331779303206,0.99359,1,"HCLR/IDR",0.747633048681669
"Frankfurt",1,2012-02-14,0.5,0.969545852479468,0.941019762734861,0.91892,1,"HCLR/IDR",0.996960470733583
"Brussels",1,2012-02-15,3.6,0.980954614829017,0.954135186990636,0.97674,1,"HCLR/IDR",0.748437818054218
"Frankfurt",1,2012-02-15,1,0.981827259597262,0.952181840298114,0.9292,1,"HCLR/IDR",1.01068798226907
"Brussels",1,2012-02-16,10,0.998509271758003,0.997292612230807,0.99359,1,"HCLR/IDR",0.749361910812338
"Frankfurt",1,2012-02-16,1,0.848885281789443,0.784845949300624,0.79817,1,"HCLR/IDR",1.02624827535355
"Brussels",1,2012-02-17,0.4,0.726793325787822,0.653643253219351,0.66667,1,"HCLR/IDR",0.765528152672806
"Frankfurt",1,2012-02-17,0,0.629306434007018,0.57351779434813,0.42857,0,"HCLR/IDR",0.916917914328565
"Brussels",1,2012-02-18,3,0.915404555405255,0.846423770987774,0.72318,1,"HCLR/IDR",0.81043072065818
"Frankfurt",1,2012-02-18,0,0.794475709422071,0.714789672395677,0.79817,0,"HCLR/IDR",0.921075672439855
"Brussels",1,2012-02-19,6,0.995668191446023,0.985119940149911,0.98182,1,"HCLR/IDR",0.813268411376628
"Frankfurt",1,2012-02-19,3.3,0.984530137088459,0.969130994291741,0.98551,1,"HCLR/IDR",0.920846609114404
"Brussels",1,2012-02-20,0,0.647014205466702,0.603022701786732,0.45161,0,"HCLR/IDR",0.725116461479583
"Frankfurt",1,2012-02-20,0.2,0.504410492432847,0.472080246841072,0.34897,1,"HCLR/IDR",1.00471122263973
"Brussels",1,2012-02-21,0,0.085990829484422,0.147475524553657,4.000000000004e-05,0,"HCLR/IDR",0.708835018106022
"Frankfurt",1,2012-02-21,0,0.141714799363508,0.179496132784964,0.0303,0,"HCLR/IDR",0.974092895081688
"Brussels",1,2012-02-22,0,0.158765497420206,0.207455520848158,0.02564,0,"HCLR/IDR",0.682847933919509
"Frankfurt",1,2012-02-22,0,0.103900512874594,0.145378891092487,0.00629999999999997,0,"HCLR/IDR",0.948938912663139
"Brussels",1,2012-02-23,1,0.866852683902733,0.815750594874121,0.70992,1,"HCLR/IDR",0.71682910319693
"Frankfurt",1,2012-02-23,0.2,0.778783227539062,0.703766099058047,0.71554,1,"HCLR/IDR",0.969019561370266
"Brussels",1,2012-02-24,0.6,0.808022705067884,0.715140844522926,0.66051,1,"HCLR/IDR",0.75283150195831
"Frankfurt",1,2012-02-24,0,0.778206607447956,0.692058410428801,0.63291,0,"HCLR/IDR",0.849475304732596
"Brussels",1,2012-02-25,0,0.793102369938924,0.70288991579853,0.70992,0,"HCLR/IDR",0.689828355830912
"Frankfurt",1,2012-02-25,0,0.684948756582167,0.609553215040692,0.45833,0,"HCLR/IDR",0.737124269442655
"Brussels",1,2012-02-26,0,0.328807072891775,0.333306681470865,0.1404,0,"HCLR/IDR",0.647376976869628
"Frankfurt",1,2012-02-26,0,0.420662371596703,0.408725524182857,0.19608,0,"HCLR/IDR",0.677285410363306
"Brussels",1,2012-02-27,0,0.390962031808433,0.385748487751246,0.14444,0,"HCLR/IDR",0.592893531190347
"Frankfurt",1,2012-02-27,0,0.713400237556414,0.653766188186758,0.53385,0,"HCLR/IDR",0.596510388974084
"Brussels",1,2012-02-28,0.1,0.688698837417721,0.635525214957821,0.58621,1,"HCLR/IDR",0.61672463461546
"Frankfurt",1,2012-02-28,0,0.650552171748986,0.590482858767299,0.46739,0,"HCLR/IDR",0.534576729515515
"Brussels",1,2012-02-29,0.2,0.618451885202928,0.559434138690068,0.375,1,"HCLR/IDR",0.692290838265852
"Frankfurt",1,2012-02-29,0,0.686713865606626,0.617443815558842,0.47917,0,"HCLR/IDR",0.468070330506889
"Brussels",1,2012-03-01,0,0.330425419092171,0.34390655012736,0.08966,0,"HCLR/IDR",0.639541247932629
"Frankfurt",1,2012-03-01,0,0.471264985628348,0.446448374003948,0.28947,0,"HCLR/IDR",0.433738352269489
"Brussels",1,2012-03-02,0.3,0.33905655870654,0.349768055366048,0.14444,1,"HCLR/IDR",0.768255004610139
"Frankfurt",1,2012-03-02,0,0.321918763634346,0.332134911730936,0.125,0,"HCLR/IDR",0.406241007613657
"Brussels",1,2012-03-03,0,0.658885746972687,0.589720672421343,0.4806,0,"HCLR/IDR",0.688669502754381
"Frankfurt",1,2012-03-03,0,0.407583191993008,0.396796796027132,0.22304,0,"HCLR/IDR",0.378867602490566
"Brussels",1,2012-03-04,0.1,0.596340316098583,0.56343895232051,0.45161,1,"HCLR/IDR",0.736224884574467
"Frankfurt",1,2012-03-04,0.1,0.562567918353742,0.517202400404413,0.42857,1,"HCLR/IDR",0.404478301630062
"Brussels",1,2012-03-05,7,0.99921613267528,0.999206917359737,1,1,"HCLR/IDR",0.736080552348143
"Frankfurt",1,2012-03-05,2,0.820215502537639,0.822195896913539,0.79817,1,"HCLR/IDR",0.407233185250505
"Brussels",1,2012-03-06,14,0.999761099290067,0.999704558633587,1,1,"HCLR/IDR",0.736036584554543
"Frankfurt",1,2012-03-06,0.3,0.59484688884362,0.543324448012865,0.42857,1,"HCLR/IDR",0.440315239990603
"Brussels",1,2012-03-07,0,0.359767937670299,0.358321935937307,0.14444,0,"HCLR/IDR",0.683058218178146
"Frankfurt",1,2012-03-07,0,0.093716872797073,0.137939993708351,0.00636000000000003,0,"HCLR/IDR",0.430192577168161
"Brussels",1,2012-03-08,11,0.998549623600435,0.994366397107537,0.99359,1,"HCLR/IDR",0.683908487812667
"Frankfurt",1,2012-03-08,6,0.982138373578962,0.953642659445322,0.9292,1,"HCLR/IDR",0.436150102972025
"Brussels",1,2012-03-09,0,0.514679688922877,0.483695644661713,0.23333,0,"HCLR/IDR",0.607063867452839
"Frankfurt",1,2012-03-09,0,0.606605394612111,0.558167988405778,0.53385,0,"HCLR/IDR",0.417691332680795
"Brussels",1,2012-03-10,0,0.348412892159408,0.351975296248635,0.14444,0,"HCLR/IDR",0.56598474115997
"Frankfurt",1,2012-03-10,0,0.243218274190343,0.220834840399779,0.07198,0,"HCLR/IDR",0.396464875627473
"Brussels",1,2012-03-11,0,0.792434306892321,0.709953198762631,0.68829,0,"HCLR/IDR",0.509228677510066
"Frankfurt",1,2012-03-11,0,0.530189926653734,0.492674521519694,0.42857,0,"HCLR/IDR",0.377118361498138
"Zurich",1,2012-03-11,0,0.20164363988164,0.222409452328507,0.15152,0,"HCLR/IDR",0.984781839563575
